Loan_ID,Gender,Married,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LN00057,Male,Yes,2,16802,9156,369,240,0.0,Rural,Y
LN00058,Male,No,2,12850,2777,601,180,0.0,Semiurban,N
LN00059,Female,Yes,1,23197,4007,536,360,0.0,Rural,Y
LN00060,Female,Yes,2,12752,4736,527,120,1.0,Rural,Y
LN00061,Female,Yes,2,6854,759,289,120,0.0,Rural,Y
LN00062,Female,Yes,3+,20857,8911,50,120,1.0,Semiurban,Y
LN00063,Male,No,0,13338,2280,306,180,1.0,Urban,Y
LN00064,Male,Yes,0,10290,4706,221,360,1.0,Rural,Y
LN00065,Male,Yes,1,15270,3163,107,240,0.0,Semiurban,N
LN00066,Female,Yes,2,14156,7711,234,180,0.0,Urban,Y
LN00067,Male,No,0,12360,14372,615,360,1.0,Semiurban,N
LN00068,Female,Yes,1,5895,2164,549,180,1.0,Urban,Y
LN00069,Female,No,2,24687,14484,383,180,1.0,Semiurban,Y
LN00070,Female,No,1,10486,14691,541,360,1.0,Rural,N
LN00071,Female,No,0,19842,4407,589,120,0.0,Semiurban,N
LN00072,Female,Yes,2,11401,12717,285,120,1.0,Rural,Y
LN00073,Male,No,0,12004,6990,345,240,1.0,Rural,Y
LN00074,Male,No,2,21163,1975,114,180,1.0,Rural,N
LN00075,Male,Yes,1,17507,5336,119,180,0.0,Urban,N
LN00076,Female,Yes,1,17521,3111,591,360,0.0,Urban,Y
LN00077,Female,No,3+,5044,2829,353,240,1.0,Semiurban,N
LN00078,Male,No,0,11303,11287,366,120,0.0,Urban,Y
LN00079,Female,Yes,3+,4199,627,360,240,0.0,Rural,Y
LN00080,Male,Yes,3+,24989,5758,423,360,1.0,Semiurban,N
LN00081,Female,Yes,0,18741,263,338,360,0.0,Semiurban,Y
LN00082,Female,No,2,23139,13246,82,240,1.0,Semiurban,Y
LN00083,Female,Yes,1,2462,14924,422,180,0.0,Semiurban,N
LN00084,Male,Yes,1,9891,7379,323,360,1.0,Semiurban,Y
LN00085,Female,Yes,2,4166,2516,541,240,0.0,Semiurban,N
LN00086,Female,No,1,12067,12837,544,180,0.0,Semiurban,Y
LN00087,Male,Yes,1,12390,4850,308,180,0.0,Rural,N
LN00088,Male,No,0,3959,10173,550,120,1.0,Semiurban,Y
LN00089,Male,No,2,21587,4424,592,240,1.0,Rural,Y
LN00090,Female,Yes,1,22392,14400,506,180,0.0,Rural,N
LN00091,Female,No,1,3826,7215,670,120,0.0,Rural,Y
LN00092,Female,No,0,3388,5072,260,240,1.0,Urban,Y
LN00093,Female,Yes,0,8695,9210,429,120,0.0,Rural,N
LN00094,Female,Yes,3+,3031,9102,468,120,1.0,Rural,N
LN00095,Female,No,3+,7488,327,566,120,0.0,Rural,N
LN00096,Male,No,2,11706,8018,426,240,1.0,Urban,N
LN00097,Female,Yes,0,3799,496,697,360,1.0,Semiurban,Y
LN00098,Male,No,1,20864,4793,120,240,1.0,Semiurban,N
LN00099,Male,No,3+,21362,11158,192,180,0.0,Semiurban,Y
LN00100,Male,Yes,3+,6195,6441,461,180,0.0,Rural,N
LN00101,Male,Yes,1,13736,4646,165,180,1.0,Rural,Y
LN00102,Male,No,0,11403,8981,117,240,1.0,Rural,N
LN00103,Female,No,1,24817,14761,609,360,0.0,Semiurban,Y
LN00104,Female,Yes,1,5225,9631,647,120,1.0,Semiurban,N
LN00105,Male,No,0,3220,2450,650,360,0.0,Rural,N
LN00106,Female,Yes,2,2734,11499,524,120,0.0,Urban,N
LN00107,Female,No,1,23684,2277,374,120,0.0,Semiurban,Y
LN00108,Male,No,3+,14144,7430,330,120,1.0,Urban,Y
LN00109,Female,Yes,1,13702,1311,295,180,1.0,Rural,N
LN00110,Female,No,1,2346,6591,276,180,1.0,Rural,N
LN00111,Female,No,2,16680,13795,478,240,1.0,Semiurban,N
LN00112,Male,Yes,3+,21871,10224,676,120,0.0,Rural,Y
LN00113,Male,No,3+,13218,3677,53,240,1.0,Urban,Y
LN00114,Female,No,1,10196,8218,556,240,1.0,Rural,N
LN00115,Male,No,1,1869,1149,217,180,1.0,Rural,N
LN00116,Male,Yes,3+,17791,4001,529,180,0.0,Urban,Y
LN00117,Male,No,3+,10259,5582,205,120,0.0,Semiurban,N
LN00118,Male,Yes,1,20253,60,404,360,0.0,Urban,N
LN00119,Female,Yes,3+,5093,9163,85,360,1.0,Urban,N
LN00120,Female,No,1,6818,6628,627,120,1.0,Semiurban,N
LN00121,Male,No,0,24526,12484,514,180,0.0,Urban,N
LN00122,Male,Yes,3+,20558,8049,252,120,1.0,Semiurban,N
LN00123,Male,Yes,3+,14716,2245,161,180,1.0,Semiurban,Y
LN00124,Male,No,0,13785,11805,214,180,0.0,Semiurban,N
LN00125,Female,No,3+,3517,1428,83,240,1.0,Rural,Y
LN00126,Male,No,2,13335,7335,548,240,1.0,Rural,Y
LN00127,Female,No,1,9314,10962,663,120,1.0,Rural,Y
LN00128,Male,No,3+,6631,4820,255,180,1.0,Semiurban,Y
LN00129,Female,Yes,1,24396,1703,667,240,1.0,Semiurban,N
LN00130,Female,Yes,3+,9939,9574,108,120,0.0,Semiurban,N
LN00131,Male,No,0,2511,3745,555,240,0.0,Semiurban,N
LN00132,Female,Yes,0,17239,10914,643,240,1.0,Semiurban,N
LN00133,Female,Yes,2,14061,7909,695,360,1.0,Urban,Y
LN00134,Female,No,3+,11983,2753,103,360,0.0,Semiurban,N
LN00135,Male,No,3+,23892,10321,415,240,0.0,Urban,N
LN00136,Female,Yes,3+,11470,8964,211,360,1.0,Semiurban,N
LN00137,Male,Yes,0,22259,124,452,180,1.0,Rural,Y
LN00138,Male,No,3+,22891,859,399,360,1.0,Semiurban,N
LN00139,Male,No,1,16053,9291,60,240,1.0,Semiurban,Y
LN00140,Male,No,0,24001,11417,337,360,0.0,Rural,N
LN00141,Female,Yes,2,13956,3393,64,360,0.0,Urban,Y
LN00142,Male,No,3+,16686,5822,345,120,0.0,Rural,Y
LN00143,Female,Yes,2,23336,8695,310,360,1.0,Rural,N
LN00144,Female,Yes,0,2055,14779,615,180,0.0,Rural,N
LN00145,Male,Yes,0,10572,14366,350,180,1.0,Semiurban,Y
LN00146,Female,Yes,3+,13712,3902,626,240,1.0,Semiurban,Y
LN00147,Male,No,1,24303,5246,458,360,1.0,Urban,N
LN00148,Female,No,1,2031,4783,475,360,1.0,Semiurban,N
LN00149,Female,No,1,2659,2576,139,360,0.0,Rural,Y
LN00150,Male,Yes,3+,20260,10278,672,240,1.0,Semiurban,N
LN00151,Female,Yes,3+,15492,1719,149,180,0.0,Urban,N
LN00152,Male,Yes,0,5427,2135,209,240,0.0,Rural,Y
LN00153,Female,No,0,22826,6173,124,360,0.0,Rural,Y
LN00154,Female,Yes,3+,11223,3352,595,240,0.0,Urban,N
LN00155,Male,No,2,22566,2074,208,180,0.0,Urban,N
LN00156,Male,Yes,3+,9156,9232,611,120,1.0,Rural,Y
LN00157,Female,Yes,3+,19522,3350,388,360,0.0,Urban,Y
LN00158,Female,No,3+,16648,1969,427,360,0.0,Urban,Y
LN00159,Female,Yes,3+,10753,18,643,120,0.0,Urban,N
LN00160,Female,Yes,0,24297,13512,113,240,0.0,Rural,Y
LN00161,Male,No,3+,20912,8213,78,240,1.0,Rural,Y
LN00162,Female,Yes,2,12303,4995,238,120,0.0,Semiurban,Y
LN00163,Male,Yes,2,16254,9057,346,180,1.0,Semiurban,N
LN00164,Male,Yes,1,6388,3606,321,360,0.0,Urban,N
LN00165,Female,Yes,2,5596,8070,657,240,1.0,Rural,N
LN00166,Male,No,2,24810,4037,698,120,1.0,Urban,Y
LN00167,Female,No,1,24211,4209,51,360,1.0,Urban,N
LN00168,Female,Yes,2,3904,9625,309,180,1.0,Urban,N
LN00169,Male,No,3+,5232,14543,583,360,1.0,Semiurban,N
LN00170,Male,Yes,1,5380,2152,229,120,1.0,Urban,Y
LN00171,Female,No,1,23140,1511,237,360,0.0,Semiurban,N
LN00172,Female,No,2,1658,1211,130,360,0.0,Semiurban,Y
LN00173,Female,No,3+,20344,1394,53,360,0.0,Rural,N
LN00174,Female,Yes,1,22711,433,162,240,1.0,Urban,Y
LN00175,Female,No,3+,23182,2733,293,180,0.0,Semiurban,Y
LN00176,Male,Yes,3+,24642,4646,305,120,1.0,Rural,N
LN00177,Female,No,0,9424,10093,232,240,0.0,Rural,N
LN00178,Male,Yes,0,23807,14356,654,360,1.0,Rural,N
LN00179,Female,Yes,0,5950,12391,131,240,1.0,Urban,N
LN00180,Male,Yes,2,7149,2118,631,180,1.0,Semiurban,Y
LN00181,Male,No,0,6882,5880,532,360,0.0,Rural,Y
LN00182,Female,Yes,1,16015,10573,314,240,0.0,Rural,Y
LN00183,Female,No,3+,17722,4128,128,240,0.0,Semiurban,N
LN00184,Male,Yes,2,3112,12341,690,360,0.0,Urban,N
LN00185,Female,Yes,1,17806,4023,334,120,0.0,Rural,Y
LN00186,Female,No,2,24325,7664,612,120,1.0,Semiurban,N
LN00187,Female,Yes,3+,3174,11597,115,180,1.0,Urban,Y
LN00188,Female,Yes,1,23594,421,424,180,1.0,Semiurban,Y
LN00189,Female,Yes,2,9791,5285,162,360,1.0,Rural,N
LN00190,Female,Yes,0,23724,6309,400,120,1.0,Urban,N
LN00191,Male,Yes,0,24107,8581,344,240,0.0,Rural,N
LN00192,Male,No,1,6087,14348,381,120,1.0,Semiurban,Y
LN00193,Female,Yes,1,9653,8834,205,240,0.0,Urban,Y
LN00194,Female,No,1,22354,3705,181,240,0.0,Rural,N
LN00195,Male,Yes,1,10318,13776,649,180,0.0,Semiurban,Y
LN00196,Male,No,1,13983,14933,264,360,0.0,Rural,N
LN00197,Male,Yes,1,16114,10924,559,360,0.0,Semiurban,Y
LN00198,Female,Yes,3+,12491,6,566,360,0.0,Semiurban,N
LN00199,Female,No,1,5843,5450,435,120,0.0,Rural,N
LN00200,Male,Yes,1,3477,11966,175,120,0.0,Rural,N
LN00201,Female,Yes,2,12484,10276,483,360,0.0,Semiurban,N
LN00202,Female,Yes,2,24540,1538,317,240,0.0,Urban,Y
LN00203,Female,Yes,1,10275,14895,359,120,0.0,Rural,Y
LN00204,Female,No,3+,2104,11067,556,360,1.0,Rural,N
LN00205,Male,No,1,22424,5635,440,120,0.0,Urban,Y
LN00206,Female,Yes,2,17267,7624,121,180,0.0,Semiurban,N
LN00207,Male,Yes,0,16315,10266,147,180,1.0,Rural,N
LN00208,Male,Yes,2,9720,4864,131,180,0.0,Semiurban,Y
LN00209,Male,Yes,2,22335,9283,667,240,1.0,Semiurban,N
LN00210,Female,No,3+,1799,10093,105,360,1.0,Urban,Y
LN00211,Female,Yes,2,23554,13031,345,360,1.0,Semiurban,N
LN00212,Female,No,0,3658,10432,240,240,1.0,Semiurban,Y
LN00213,Female,Yes,1,22306,7402,441,240,1.0,Rural,N
LN00214,Female,No,3+,9273,8354,644,120,1.0,Rural,N
LN00215,Female,No,2,8438,3150,335,120,0.0,Urban,Y
LN00216,Female,No,1,19635,7779,108,360,0.0,Semiurban,N
LN00217,Male,Yes,3+,23879,12378,336,120,0.0,Semiurban,N
LN00218,Male,No,3+,18086,4618,644,360,1.0,Urban,Y
LN00219,Male,No,1,15267,2105,250,240,1.0,Semiurban,Y
LN00220,Male,No,3+,6814,6334,163,240,0.0,Semiurban,Y
LN00221,Female,Yes,2,23030,9868,246,240,0.0,Rural,N
LN00222,Female,No,3+,13012,4665,664,360,1.0,Semiurban,Y
LN00223,Male,Yes,2,10689,2332,168,240,1.0,Rural,Y
LN00224,Male,No,2,1688,14856,611,120,0.0,Urban,Y
LN00225,Female,Yes,1,17142,5258,529,120,1.0,Rural,N
LN00226,Female,Yes,1,6468,8393,175,240,0.0,Urban,Y
LN00227,Female,No,1,14922,6779,495,120,0.0,Urban,N
LN00228,Female,No,1,2584,8709,570,120,1.0,Semiurban,N
LN00229,Male,No,0,22126,13927,252,360,0.0,Semiurban,N
LN00230,Male,Yes,2,2948,12149,294,180,1.0,Rural,N
LN00231,Female,No,1,6034,11846,695,240,1.0,Urban,Y
LN00232,Female,Yes,1,18413,4118,81,180,1.0,Semiurban,N
LN00233,Male,No,2,12791,12711,550,180,1.0,Urban,N
LN00234,Male,No,3+,14186,6609,97,180,1.0,Urban,N
LN00235,Male,No,0,13514,6317,406,120,1.0,Urban,Y
LN00236,Female,Yes,1,19246,5495,203,240,1.0,Urban,N
LN00237,Male,Yes,2,3123,12751,224,180,1.0,Urban,N
LN00238,Male,No,1,8865,13184,158,360,1.0,Rural,N
LN00239,Male,No,2,10235,3060,392,180,1.0,Urban,N
LN00240,Male,Yes,3+,10027,8068,432,360,1.0,Urban,N
LN00241,Male,Yes,0,24013,628,312,120,0.0,Rural,N
LN00242,Female,No,1,7236,4034,657,120,0.0,Rural,Y
LN00243,Female,Yes,1,6559,12274,544,360,0.0,Urban,Y
LN00244,Female,Yes,2,9734,7636,632,240,0.0,Rural,N
LN00245,Male,Yes,0,17434,7456,519,180,0.0,Semiurban,N
LN00246,Female,Yes,3+,11590,8580,325,360,1.0,Rural,Y
LN00247,Male,No,2,22734,7762,192,360,1.0,Rural,Y
LN00248,Male,No,1,1918,12430,575,360,1.0,Urban,N
LN00249,Female,Yes,3+,4040,12198,682,240,1.0,Urban,N
LN00250,Male,Yes,0,1902,11003,134,240,0.0,Semiurban,Y
LN00251,Male,Yes,1,8999,14797,224,180,0.0,Semiurban,N
LN00252,Male,Yes,3+,11813,13881,498,180,0.0,Semiurban,Y
LN00253,Female,Yes,2,1963,12292,78,180,1.0,Urban,Y
LN00254,Male,No,0,15887,10570,418,120,1.0,Rural,Y
LN00255,Female,No,3+,24941,8961,374,240,0.0,Rural,N
LN00256,Male,Yes,0,17474,12433,106,360,1.0,Rural,N
LN00257,Female,Yes,0,7980,2812,266,180,0.0,Semiurban,N
LN00258,Male,Yes,1,16972,9464,677,360,0.0,Rural,Y
LN00259,Female,Yes,0,24293,10927,121,180,1.0,Urban,Y
LN00260,Male,Yes,1,2690,8543,138,360,1.0,Urban,Y
LN00261,Female,No,2,13293,6498,279,360,1.0,Semiurban,Y
LN00262,Female,Yes,0,7341,2258,189,240,0.0,Rural,N
LN00263,Female,Yes,3+,8303,11788,527,120,0.0,Semiurban,Y
LN00264,Male,Yes,1,7478,1906,460,240,1.0,Semiurban,Y
LN00265,Male,Yes,1,13293,13617,568,120,0.0,Semiurban,N
LN00266,Female,Yes,1,17116,8960,435,240,0.0,Semiurban,Y
LN00267,Male,Yes,3+,21182,7190,171,180,1.0,Semiurban,N
LN00268,Female,No,2,23171,6042,546,360,0.0,Urban,Y
LN00269,Male,No,3+,14837,7711,236,180,0.0,Urban,Y
LN00270,Male,Yes,2,4958,8272,340,120,1.0,Urban,Y
LN00271,Male,Yes,1,1839,2822,387,180,0.0,Urban,N
LN00272,Male,Yes,2,11965,6892,129,360,0.0,Urban,Y
LN00273,Male,Yes,2,16060,11125,148,240,0.0,Rural,N
LN00274,Male,Yes,2,17517,14545,165,360,1.0,Urban,Y
LN00275,Male,Yes,0,10536,10205,290,120,1.0,Rural,Y
LN00276,Female,No,2,23779,14490,95,120,0.0,Semiurban,Y
LN00277,Female,Yes,0,3165,8250,58,180,0.0,Semiurban,N
LN00278,Female,No,0,24565,12884,529,180,1.0,Urban,Y
LN00279,Female,Yes,1,4586,13599,106,360,0.0,Semiurban,N
LN00280,Male,No,3+,3934,2715,453,240,0.0,Urban,Y
LN00281,Female,Yes,0,16883,6138,477,120,0.0,Urban,N
LN00282,Female,No,1,15777,6983,415,180,1.0,Rural,N
LN00283,Female,No,0,9174,4038,78,240,1.0,Semiurban,Y
LN00284,Male,Yes,0,2845,11147,337,120,0.0,Semiurban,Y
LN00285,Female,No,3+,19305,8035,215,360,1.0,Semiurban,Y
LN00286,Female,Yes,1,10762,4893,582,240,0.0,Urban,Y
LN00287,Male,Yes,0,17947,9408,231,240,0.0,Semiurban,N
LN00288,Female,No,1,16041,10508,178,120,0.0,Rural,Y
LN00289,Female,Yes,1,24446,6585,96,120,1.0,Urban,Y
LN00290,Female,No,1,5835,14752,692,120,0.0,Semiurban,Y
LN00291,Male,Yes,3+,5508,7270,318,180,0.0,Rural,Y
LN00292,Male,Yes,2,22208,6032,395,180,1.0,Rural,N
LN00293,Female,Yes,2,9438,14977,436,120,0.0,Rural,Y
LN00294,Female,No,0,1636,12585,632,360,1.0,Urban,N
LN00295,Female,Yes,3+,2114,6151,365,360,0.0,Semiurban,Y
LN00296,Female,Yes,0,13682,8476,571,180,1.0,Semiurban,N
LN00297,Male,Yes,3+,19123,12491,207,180,0.0,Rural,Y
LN00298,Male,No,0,1808,12169,308,180,1.0,Rural,N
LN00299,Male,No,2,20653,2849,214,120,0.0,Rural,Y
LN00300,Female,No,0,19033,5065,689,120,1.0,Semiurban,N
LN00301,Male,Yes,3+,19696,13988,387,120,0.0,Urban,N
LN00302,Female,Yes,0,11931,12743,103,120,1.0,Semiurban,N
LN00303,Female,No,2,21982,4270,181,240,1.0,Semiurban,N
LN00304,Female,Yes,2,9039,11299,59,240,0.0,Semiurban,N
LN00305,Male,Yes,2,23417,13300,259,120,1.0,Semiurban,N
LN00306,Female,Yes,1,11846,5490,325,180,1.0,Semiurban,N
LN00307,Female,Yes,3+,6541,9490,256,120,1.0,Semiurban,N
LN00308,Female,Yes,3+,8780,7262,88,240,0.0,Semiurban,N
LN00309,Female,No,2,19177,11311,246,240,0.0,Semiurban,Y
LN00310,Female,Yes,2,3659,14260,621,360,1.0,Urban,N
LN00311,Male,Yes,0,24552,1529,139,180,1.0,Semiurban,Y
LN00312,Male,No,2,22118,2701,403,240,1.0,Rural,N
LN00313,Female,Yes,2,4251,6710,395,120,1.0,Rural,Y
LN00314,Female,Yes,1,13385,12780,569,180,1.0,Semiurban,Y
LN00315,Male,No,2,14089,6286,115,120,0.0,Rural,N
LN00316,Female,No,2,15797,13863,284,180,1.0,Urban,N
LN00317,Male,Yes,3+,24381,14147,552,120,0.0,Rural,N
LN00318,Female,Yes,3+,1819,901,540,120,0.0,Rural,N
LN00319,Male,No,2,2162,2922,574,180,1.0,Semiurban,Y
LN00320,Male,Yes,1,22836,7099,114,180,1.0,Rural,Y
LN00321,Female,No,1,15378,10554,598,360,0.0,Urban,Y
LN00322,Male,No,3+,4990,2908,79,120,1.0,Semiurban,N
LN00323,Male,No,1,17227,8485,381,240,0.0,Semiurban,N
LN00324,Female,No,3+,5442,10713,266,240,0.0,Semiurban,Y
LN00325,Male,Yes,2,24154,14842,280,360,0.0,Semiurban,Y
LN00326,Male,No,3+,3816,8286,130,240,1.0,Urban,N
LN00327,Male,Yes,0,18936,242,510,180,0.0,Urban,N
LN00328,Male,Yes,0,21555,13027,429,360,0.0,Semiurban,Y
LN00329,Male,Yes,3+,1848,14692,408,240,1.0,Rural,N
LN00330,Male,Yes,2,17523,11677,574,120,1.0,Rural,N
LN00331,Female,Yes,1,22872,4062,684,120,1.0,Urban,Y
LN00332,Male,No,0,19552,14581,51,180,1.0,Rural,Y
LN00333,Male,Yes,0,22991,1876,469,360,0.0,Rural,Y
LN00334,Male,Yes,1,9445,11676,272,120,0.0,Semiurban,N
LN00335,Female,Yes,2,22654,11673,331,360,1.0,Semiurban,N
LN00336,Female,Yes,3+,24027,2428,598,360,1.0,Urban,N
LN00337,Male,No,3+,19203,4056,179,360,0.0,Urban,Y
LN00338,Female,No,1,4684,10718,518,180,1.0,Rural,N
LN00339,Female,Yes,3+,1837,6176,500,360,1.0,Semiurban,N
LN00340,Female,Yes,3+,23979,7745,373,360,1.0,Urban,N
LN00341,Male,No,2,9855,14430,248,120,1.0,Rural,N
LN00342,Male,No,1,24528,10640,61,360,0.0,Rural,N
LN00343,Male,Yes,3+,13655,3650,413,360,0.0,Semiurban,Y
LN00344,Male,No,0,8078,7077,194,360,1.0,Rural,N
LN00345,Female,No,1,7239,7468,692,120,0.0,Semiurban,Y
LN00346,Female,Yes,3+,13346,5879,89,240,0.0,Rural,N
LN00347,Female,No,3+,6309,329,459,180,1.0,Urban,N
LN00348,Female,Yes,2,23748,7794,491,180,0.0,Semiurban,Y
LN00349,Female,No,0,3187,3527,60,180,0.0,Semiurban,Y
LN00350,Male,No,3+,6897,1423,280,120,1.0,Rural,Y
LN00351,Female,No,2,23869,3772,154,360,0.0,Semiurban,Y
LN00352,Male,Yes,1,22527,6949,371,180,1.0,Urban,Y
LN00353,Male,Yes,1,21774,759,378,120,0.0,Urban,Y
LN00354,Male,No,3+,13836,1393,476,360,0.0,Semiurban,Y
LN00355,Female,Yes,3+,8768,4080,290,120,0.0,Rural,Y
LN00356,Female,No,2,4967,4547,104,120,0.0,Rural,Y
LN00357,Female,No,2,14136,7794,543,120,0.0,Urban,Y
LN00358,Male,Yes,3+,12311,5437,579,120,1.0,Urban,N
LN00359,Female,Yes,1,19162,2490,58,180,0.0,Urban,Y
LN00360,Male,No,1,22629,7289,454,360,0.0,Urban,N
LN00361,Female,Yes,0,13733,2700,649,240,0.0,Rural,N
LN00362,Female,No,1,16212,9526,377,360,0.0,Semiurban,Y
LN00363,Male,No,1,22717,7255,67,240,0.0,Rural,Y
LN00364,Male,Yes,2,4626,3628,319,120,1.0,Rural,Y
LN00365,Female,Yes,2,5518,8943,430,360,0.0,Rural,Y
LN00366,Male,No,3+,24286,8291,338,240,0.0,Semiurban,N
LN00367,Male,No,2,10166,88,564,240,1.0,Urban,Y
LN00368,Male,Yes,3+,24478,6318,205,360,0.0,Urban,Y
LN00369,Male,Yes,2,22007,11103,398,360,1.0,Urban,N
LN00370,Female,No,3+,1609,10326,503,120,1.0,Urban,Y
LN00371,Female,Yes,1,22820,2759,695,180,1.0,Semiurban,Y
LN00372,Female,Yes,2,3679,6736,380,240,1.0,Rural,Y
LN00373,Male,No,1,13532,12004,344,360,0.0,Urban,Y
LN00374,Female,No,0,10177,9974,409,360,0.0,Rural,Y
LN00375,Female,Yes,0,21959,426,371,240,1.0,Urban,N
LN00376,Male,No,2,4414,2710,58,120,0.0,Semiurban,Y
LN00377,Male,No,1,21882,3736,479,240,0.0,Urban,Y
LN00378,Male,Yes,3+,15275,9299,691,180,1.0,Urban,Y
LN00379,Female,No,2,9180,9359,570,180,0.0,Rural,N
LN00380,Female,No,2,21390,10506,686,120,0.0,Urban,Y
LN00381,Male,Yes,0,22297,9170,76,240,1.0,Urban,N
LN00382,Female,Yes,0,7407,12328,281,120,0.0,Urban,Y
LN00383,Male,No,1,10152,14181,182,120,0.0,Urban,N
LN00384,Male,No,1,22357,9005,266,240,0.0,Urban,N
LN00385,Male,No,3+,11148,3236,268,180,0.0,Semiurban,N
LN00386,Male,No,3+,11031,832,268,180,1.0,Urban,N
LN00387,Male,Yes,1,11588,4968,593,360,0.0,Rural,N
LN00388,Female,No,1,19150,7616,383,240,1.0,Urban,Y
LN00389,Male,No,2,8144,9177,649,360,1.0,Semiurban,Y
LN00390,Male,No,2,7013,2939,674,240,0.0,Semiurban,N
LN00391,Male,No,0,5339,9372,596,360,1.0,Semiurban,N
LN00392,Female,Yes,0,21697,14212,420,240,1.0,Urban,Y
LN00393,Male,No,1,13090,7366,219,360,0.0,Semiurban,N
LN00394,Male,Yes,1,10301,1838,347,180,1.0,Semiurban,N
LN00395,Male,No,1,4337,5247,693,360,0.0,Urban,Y
LN00396,Male,Yes,1,17204,1105,81,240,0.0,Urban,N
LN00397,Female,No,0,6453,8185,499,240,1.0,Urban,Y
LN00398,Male,No,3+,4552,7308,71,180,1.0,Urban,N
LN00399,Male,Yes,3+,2761,7794,654,240,1.0,Semiurban,Y
LN00400,Male,Yes,0,2987,6263,165,180,1.0,Semiurban,N
LN00401,Male,Yes,1,7873,11236,279,360,0.0,Rural,N
